38787-2048-2,KING KING,Exile & Grace,Redeye / Manhaton,Rock-Pop,,5038787204828,CD,12.96,2017
MANH4048,KING KING,Exile & Grace,Redeye / Manhaton,Rock-Pop,,5038787404822,LP,22.88,2017
TAR070,"KRGOVICH, NICHOLAS",In an Open Field,Tin Angel Records,Pop / Rock,Canadian,5052442012016,LP,17.56,2017
52442-0120-0,"KRGOVICH, NICHOLAS",In an Open Field,Tin Angel Records,Pop / Rock,Canadian,5052442012009,CD,11.00,2017
34457-4853-9,LITTLE G WEEVIL,Something Poppin',Redeye / Vizz Tone Label Group,Blues,,634457485396,CD,12.96,2017
78632-9082-4,LITTLE MISS HIGGINS,"My Home, My Heart",Little Miss Higgins Music / Morning Noise Records,Rock-Pop,Canadian,778632908246,CD,11.00,2017
30003-1414-3,"LYMAN WOODARD ORGANIZATION, THE",Saturday Night Special,!K7 / BBE,Jazz / R& B,,730003141430,CD,13.00,2017
BBE414ALP,"LYMAN WOODARD ORGANIZATION, THE",Saturday Night Special (180g gatefold),!K7 / BBE,Jazz / R& B,,730003141416,LPx2,28.00,2017
IARC0013,"MCCRAVEN, MAKAYA",Highly Rare,Redeye / International Anthem Recording Co.,Jazz,,664992991335,LP,19.90,2017
BBIB037,MELANGE,Viento Bravo,Redeye / Beyond Beyond is Beyond Records,Rock-Pop,,857387005391,LP,18.91,2017
84721-4005-2,"MONROE, BILL",I Believe In You Darling,Redeye / Southern Routes,Country,,084721400523,CD,12.96,2017
KNV006,OBSEQUIES,Organn,Redeye / Knives,Electronic,,5055300392633,LP,15.20,2017
WW036,"OST: ELFMAN, DANNY","Darkman (Original 1990 Motion Picture Score ""Fire"" Colour Vinyl)",Light In The Attic / Waxwork,Soundtrack,,728028450453,LP,36.00,2017
SAL082,PARTIAL TRACES,Glass Beach,Redeye / Salinas Records,Rock-Pop,,634457788015,LP,15.20,2017
CR081,POPE,True Talent Champion,Redeye / Community Records/Topshelf,Rock-Pop,,634457799912,"12""",12.96,2017
JNR207LP-C1,RAFTER,XYZ [RED VINYL],SD / Joyful Noise,Rock-Pop,,714270690433,LP,12.00,2017
KRS515,"RAINCOATS, THE",The Raincoats,Redeye / Kill Rock Stars,Rock-Pop,,759656051514,LP,17.72,2017
FFD008,"REINDEER, JAMES",Field Reports from The Western Lands,Redeye / Fake Four Inc.,Hip Hop / Rap,,634457850613,LPx2,25.87,2017
ABT063CS,"SAVAGE, SEAN NICHOLAS",Yummycoma,SD / Arbutus,Rock-Pop,,844667038743,CS,8.00,2017
ABT063CS,"SAVAGE, SEAN NICHOLAS",Yummycoma,SD / Arbutus,Rock-Pop,,844667038743,CS,8.00,2017
THRILL186,"SEA AND CAKE, THE",Everybody (Aluminum Colour),Thrill Jockey,Pop / Rock,,790377018615,LP,18.67,2017
THRILL278,"SEA AND CAKE, THE",The Moonlight Butterfly (Gold Colour),Thrill Jockey,Pop / Rock,,790377027815,LP,16.87,2017
08535-7920-2,"SEYMOUR, PHIL",Archive Series Volume 1,Redeye / Sunset Blvd Records,Rock-Pop,,708535792024,CD,11.96,2017
SMM0316V,"SIMONE, LISA",My World,S.P.A.C.E. / Soundsurveyor Music,Jazz,,3521381542929,LP,20.75,2017
34457-7857-2,SLOW  MEADOW,Costero,Redeye / Hammock Music,Ambient,,634457785724,CD,12.96,2017
HMK016,SLOW  MEADOW,Costero,Redeye / Hammock Music,Ambient,,634457785717,LP,23.94,2017
84721-4006-2,"SMITH, CARL","Go, Boy Go",Redeye / Southern Routes,Country,,084721400622,CD,12.96,2017
51083-1207-3,SNOW PALMS,Origin and Echo,Redeye / Village Green,Ambient,,5051083120739,CD,12.96,2017
VGR030,SNOW PALMS,Origin and Echo,Redeye / Village Green,Ambient,,5051083120722,LP,20.93,2017
SAL083,SOAR,dark / gold,Redeye / Salinas Records,Rock-Pop,,634457788114,LP,15.20,2017
AMB1706,SW.,The Album,Redeye / Apollo Records,Electronic,,5055274707792,LPx2,24.90,2017
97776-5690-7,UPS AND DOWNS,The Sky's In Love With You,Redeye / Basket Case Records,Rock-Pop,,797776569076,CD,12.96,2017
02397-8357-2,"ZORN, JOHN",The Hermetic Organ - Philharmonie De Paris,Redeye / Tzadik,Avant-Garde,,702397835721,CD,12.96,2017
