2MR030,GEL SET,Body Copy,SD / 2MR,Electronic / Experimental,,090125169027,LP,12.00,2017
54429-1205-0,GIRAFFAGE,Too Real,Ninja Tune / Counter Records,Electronic,,5054429120509,CD,12.70,2017
COUNT122,GIRAFFAGE,Too Real,Ninja Tune / Counter Records,Electronic,,5054429120493,LP,20.00,2017
COUNT122O,GIRAFFAGE,Too Real (ltd orange vinyl),Ninja Tune / Counter Records,Electronic,INDIE ONLY,5054429121070,LP,20.00,2017
51937-4386-2,GROOMS,Exit Index,SD / Western Vinyl,Rock-Pop,,751937438625,CD,12.00,2017
WV157,GROOMS,Exit Index,SD / Western Vinyl,Rock-Pop,,751937438618,LP,16.00,2017
WW004-G,"HARRISON, JOHN","Creepshow (1982 Original Soundtrack, Deep Red with Blue Smoke Colour)",Light In the Attic,Soundrack,,728028451191,LP ,41.17,2017
TIM125,HEADROOM,Head In The Clouds,SD / Trouble In Mind,Rock-Pop,,630125983515,LP,12.00,2017
FTS004,"HOROWITZ, RICHARD",Eros In Arabia,SD / RVNG Int'l,,,603786278788,"12""",10.50,2017
54429-1199-9,IGLOOGHOST,Neo Wax Bloom ,Ninja Tune / Brainfeeder,Electronic,,5054429119992,CD,12.70,2017
BFCD063,IGLOOGHOST,Neo Wax Bloom (LPx2 + comic+ sticker sheet),Ninja Tune / Brainfeeder,Electronic,,5054429120004,LPx2,24.00,2017
ACTLP98441,"ILG, DIETER TRIO",B-A-C-H,ACT,Jazz,,614427984418,LP,17.00,2017
14427-9844-2,"ILG, DIETER TRIO",B-A-C-H,ACT,Jazz,,614427984425,CD,14.50,2017
82388-1106-2,INERTIA,Dream Machine,Metropolis,Electronic,,782388110624,CD,11.00,2017
UR100,"IRISARRI, RAPHAEL ANTON",The Shameless Years,Thrill Jockey / Umor Rex,Experimental / Post-minimalist,,603149211599,LP,23.00,2017
THRILL049,ISOTOPE 217,The Unstable Molecule (Thrill Jockey 25th anniversary reissue),Thrill Jockey,"Rock-Pop  crossfile: Tortoise, Chicago Underground, Iron & Wine",,790377004915, LP ,18.67,2017
30003-1437-2,"JAMES L'ESTRAUNGE ORCHESTRA, THE",Eventual Reality,!K7 / BBE,Electronic,,730003143724,CD,13.00,2017
BBE437ALP,"JAMES L'ESTRAUNGE ORCHESTRA, THE",Eventual Reality,!K7 / BBE,Electronic,,730003143717,LPx2,24.00,2017
34457-7954-2,"KATZ, IANA",Subway Stories,Redeye / Vizz Tone Label Group,BLUES,,634457795426,CD,12.96,2017
ERATP102,KIASMOS,Blurred EP,Redeye / Erased Tapes,Electronic,,4050486113981,LP,17.91,2017
04297-8308-2,KLLO,Backwater,SD / Ghostly Int'l,Electronic,,804297830827,CD,10.00,2017
GI308,KLLO,Backwater,SD / Ghostly Int'l,Electronic,,804297830810,LPx2,13.50,2017
GI308lp-C1,KLLO,Backwater (very limited coloured vinyl version - indie only),SD / Ghostly Int'l,Electronic,INDIE ONLY,804297830803,LPx2,19.00,2017
56605-1436-2,"LAHEY, ALEX",I Love You Like A Brother,SD / Dead Oceans,Rock-Pop,,656605143620,CD,10.00,2017
DOC136,"LAHEY, ALEX",I Love You Like A Brother,SD / Dead Oceans,Rock-Pop,,656605143613,LP,12.00,2017
DOC136LP-C1,"LAHEY, ALEX",I Love You Like A Brother (indie only - opaque yellow vinyl),SD / Dead Oceans,Rock-Pop,INDIE ONLY,656605143637,LP,12.00,2017
51937-4383-2,LEAN YEAR,Lean Year,SD / Western Vinyl,Rock-Pop,,751937438328,CD,12.00,2017
WV152,LEAN YEAR,Lean Year,SD / Western Vinyl,Rock-Pop,,751937438311,LP,16.00,2017
28070-6260-2,LEGEND,Midnight Champion,Artoffact Records,Metal,,628070626021,CD,12.00,2017
AOF260,LEGEND,Midnight Champion,Artoffact Records,Metal,,628070626014,LPx2,25.00,2017
