BRI9142,842977091427,SERENADE ARR. FOR STRINGS,DVORAK; HAYDN,GIL SHARON,BRI
BRI9143,842977091434,THE LADY & THE HOOLIGAN,"SHOSTAKOVICH, DMITRI",VARIOUS,BRI
BRI9152,842977091526,LES AVENTURES DU ROI PAUSOLE,"HONEGGER, ARTHUR",NIEUW ENSEMBLE; SPANJAARD,BRI
BRI9154,842977091540,LIEDER GESAMTAUFNAHME,"WALTER, BRUNO",CHRISTIAN HILZ,BRI
BRI9158,842977091588,"SYMFONIETTA FOR STRINGS, PIANO","LOTICHIUS, ERIK",RODIGUES; MALLINGER; PRIMA LA MUSICA; VERMEULEN,BRI
BRI9160,842977091601,COMPLETE PIANO WORKS,"DUKAS, PAUL",MARCO RAPETTI,BRI
BRI9164,5029365916424,"ISRAEL, NIGUN, SCHELEMO","BLOCH, ERNEST",STATE ORCHESTRA OF THE USSR; SVETLANOV,BRI
BRI9165,5029365916523,VIOLIN SONATAS,"ENESCU, GEORGE",ANTAL; JOZSEF,BRI
BRI9167,5029365916721,PIANO WORKS,"CASTIGLIONI, NICCOLO",ENRICO POMPILI,BRI
BRI9174,5029365917421,CHAMBER MUSIC,ROSLAVETS,MOSCOW TRIO,BRI
BRI9175,5029365917520,SONGS & CHORUSES,"LOURIÉ, ARTHUR",GERASSIMOVA; RUSSIAN CHAMBER CHOIR,BRI
BRI9176,5029365917629,PIANO WORKS,"CAGE, JOHN","SIMONACCI, G.; SIMONACCI, M.",BRI
BRI9179,5029365917926,HARP COMPOSITIONS,POENITZ,VINCIGUERRA; FRANCHESINI; PETROCCHI,BRI
BRI9181,5029365918121,THE GAMBLERS,"SHOSTAKOVICH, DMITRI",BOLSHOI THEATRE ORCHESTRA,BRI
BRI9263,5029365926324,V 4: MUSIC FOR PIANO,"CAGE, JOHN",GIANCARLO SIMONACCI,BRI
BRI92863,842977028638,V 1: GREAT SYMPHONIES (250 YEA,"MOZART, W.A.",MOZART AKADEMIE AMSTERDAM; LINDEN,BRI
BRI92866,842977028669,V 2: GREAT PIANO CONCERTOS (25,"MOZART, W.A.",HAN; PHILHARMONIA ORCHESTRA; FREEMAN,BRI
BRI92886,842977028867,"V 1: STRING QUARTETS, OPUS 9",HAYDN,BUCHBERGER QUARTET,BRI
BRI93272,842977032727,SYMPHONIES NOS. 103 & 104,HAYDN,FISCHER; AUSTRO-HUNGARIAN HAYDN ORCHESTRA,BRI
BRI93295,842977032956,REQUIEM,"MOZART, W.A.",HEUVELMANS; WERNER; MORVAJ; PFEIFFER; MATT,BRI
BRI93297,842977032970,PICTURES AT AN EXHIBITION,MUSSORGSKY; TCHAIKOVSKY,ALEXANDER WARENBERG,BRI
BRI94020,842977040203,V 8: FRESCOBALDI EDITION VOL 8,"FRESCOBALDI, GIROLAMO ALESSAND",ROBERTO LOREGGIAN,BRI
BRI94033,842977040333,PIANO WORKS,"ALKAN, CHARLES-VALENTIN",HOOGLAND; WEISS,BRI
BRI94115,842977041156,HUMMEL: SACRED MUSIC FOR THE E,"HUMMEL, JOHANN NEPOMUK",SOLAMENTE NATURALI; TALPAIN,BRI
BRI94709,5028421947099,ROMANTIC ORGAN TRANSCRIPTIONS,"HANDEL, GEORG FRIEDRIC",MASSIMO GABBA,BRI
BRI99679,842977096798,PICTURES AT AN EXHIBITION: PIA,"MUSSORGSKY, MODEST",ALEXANDER WARENBERG,BRI
BRI99939,842977099393,V 3: COMPLETE SONATAS: K99-129,"SCARLATTI, DOMENICO",PIETER-JAN BELDER,BRI
BRI94659,5028421946597,TOP 50 FAVOURITE CLASSICAL CHI,MOZART; DVORAK; SAINT-SAENS; S,VARIOUS ARTISTS,BRI OWN
ZZ76101,608917610123,"RADIOHEAD, A JAZZ SYMPHONY",VARIOUS,NOORDPOOL ORCHESTRA,BUZ
ACD097,521765009720,RELIGIOUS SONGS,"MONIUSZKO, STANISLAW",KOZLOWSKA; RAPPE; HIOLSKI; KUSIEWICZ; MALANOWICZ,CDA
CC72583,608917258325,SYMPHONIES NOS. 1-8,"HARTMANN, KARL AMADEUS",KISMARA PESSATI,CHC
CC72526,608917252620,PICTURES AT AN EXHIBITION,LISZT; MUSSORGSKY,NOBUYUKI TSUJII,CHC
CC72567,608917256727,COMPLETE SONATAS & WORKS,"WEINBERG, MIECZYSLAW",ROTH; GALLARDO,CHC
CC72631,608917263121,PIFFARISSIMO,EBREO; DE VITRY; DUFAY,BAUML; CAPELLA DE LA TORRE,CHC
CC72687,608917268720,LIEDERKREIS,SCHUMANN; BRITTEN; BRAHMS,ANNA LUCIA RICHTER,CHC
CHR70063,608917006322,LIVE AT THE NORTH SEA JAZZ FES,VARIOUS,BROOKMEYER; HALL,CHJ
CHR77341,4010072773418,"SEQUENCES, TROPES, CHANTS","BALBULUS, NOTKER",MORENT; ORDO VIRTUTUM,CPH
