Guild,GMCD7131,795754713121,Byrd; Dupre; Gibbons,Music for Passiontide,Guildford Cathedral Choir; Filsell,1,CD,1997,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7132,795754713220,Bridge; Vaughan Williams,Songs of Farewell,Vasari Singers; Filsell,1,CD,1997,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7133,795754713329,"Goossens, Eugene",V3: English Romanticism,Jeremy Filsell,1,CD,1997,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7134,795754713428,"Brahms, Johannes",V1: Master Works,Serenata Voices; Beavan; Filsell; Pott,1,CD,1997,Vocal,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7135,795754713527,"Boellmann, Leon",V1: French Romanticism,Gledhill; Filsell,1,CD,1997,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7136,795754713626,Demessieux; Dupre; Gilles,V2: Master Works,BBC Concert Orchestra; Wordsworth; Filsell,1,CD,1997,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7137,795754713725,"Reubke, Julius",V1: German Romanticism,Jeremy Filsell,1,CD,1996,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7138,795754713824,"Weber, Carl Maria von",V3: Master Works,London Symphony Orchestra,1,CD,1997,Orchestral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7139,795754713923,Bax; Blatchly; Britten; Pott,Worldes Joie,Schola Cantorum of Oxford; Goode,1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7140,795754714029,Howells; Tavener; Walton; ,Voice from Heaven,York Chapter House Choir,1,CD,1997,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7141,795754714128,"Pott, Francis",Farewell to Hirta,Watkin; Moody; Pott,1,CD,1997,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7142,795754714227,"Schoeck, Othmar",V1: Swiss Romanticism,Barritt; Edwards,1,CD,1997,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7143,795754714326,Bach; Cummings; Gruber; Wood,Sing Choirs of Angels,Salisbury Cathedral Choir; Salisbury Brass Ensemble; Halls,1,CD,1997,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7144,795754714425,Bach; Bovet; Durufle; Hollins,V4: Master Works,Jeremy Filsell,1,CD,1998,Instrumental,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7145,795754714524,"Barber, Samuel",Choral & Organ Works,Cambridge University Chamber Choir,1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7146,795754714623,Britten; Faure; Guest; Harris,Remembrance & Resurrection,"Chapel Choir of the Royal Hospital, Chelsea; Filsell",1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
Guild,GMCD7147,795754714722,Brahms; Elgar; Mozart,How Lovely are thy Dwellings,Choir of the Collegiate Church of St Mary; Bowyer,1,CD,1998,Choral,UK,9.35,$14.99 ,CN15,,,,,,,,,,
