DAN,Danacord,DACOCD365-367,5709499365670,"Nielsen, Carl",V6: Music of Carl Nielsen,Schiotz; Goeberg; Jensen,3,CD,1996,26.51,26.51,CN41,,,,,,,,,,
DAN,Danacord,DACOCD368,5709499368695,"Nielsen, Carl",Complete Works A Cappella,Canzone-Koret; Rasmussen,1,CD,1994,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD369,5709499369005,"Langgaard, Rued",V1: Works for Keyboard,Bengt Johnsson,1,CD,1994,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD370-371,5709499370711,Simonsen; Borresen; Sandby,Danish Symphonies Late Romantic,Danish Radio Symphony Orchestra; Grondahl,2,CD,1996,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD372,5709499372005,Reger; Ysaye,Bengtsson Plays Reger & Ysaye,Erling Blondal Bengtsson,1,CD,2003,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD373,5709499373002,Coste; Stravinsky; Haydn,Scherzo,Ratzkowski-Thomsen Guitar Duo,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD374,5709499374009,"Lange-Muller, P.E.",I Menneskers Dromme,Moller; Kirkenskov,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD375,5709499375006,"Sor, Fernando",Grand Solo,Ingolf Olsen,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD376,5709499376003,Various,Peter Fabricius' Lutebook,Cold; Buhl-Mortensen,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD377,5709499377000,"Svenningsen, Niels",Det er Danmark,Voldby; Kesseler,1,CD,1990,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD379,5709499379004,Various,Rarities of Piano Music 1990,Various,1,CD,1990,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD381,5709499381007,"Buxtehude, Dieterich",V1: Complete Organ Music,Inge Bonnerup,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD382,5709499382004,"Buxtehude, Dieterich",V2: Complete Organ Music,Inge Bonnerup,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD383,5709499383001,"Buxtehude, Dieterich",V3: Complete Organ Music,Inge Bonnerup,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD384,5709499384008,"Buxtehude, Dieterich",V4: Complete Organ Music,Inge Bonnerup,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD385,5709499385005,"Buxtehude, Dieterich",V5: Complete Organ Music,Inge Bonnerup,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD386,5709499386002,"Buxtehude, Dieterich",V6: Complete Organ Music,Inge Bonnerup,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD388,5709499388006,Various,Sensommer,The Nordic Fiddlers,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD389,5709499389003,Various,Rarities of Piano Music 1991,Various,1,CD,1992,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD390,5709499390009,Victoria; des Prez,Motets,Schola Cantorum Copenhagen; Lewkovitch,1,CD,1987,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD391,5709499391006,"Prokofiev, Sergei",V1: Piano Music,Oleg Marshev,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD392,5709499392003,"Prokofiev, Sergei",V2: Piano Music,Oleg Marshev,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD393,5709499393000,"Prokofiev, Sergei",V3: Piano Music,Oleg Marshev,1,CD,1995,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD394,5709499394007,"Prokofiev, Sergei",V4: Piano Music,Oleg Marshev,1,CD,1995,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD395,5709499395004,"Prokofiev, Sergei",V5: Piano Music,Oleg Marshev,1,CD,1995,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD396,5709499396001,"Schubert, Franz",Die Schone Mullerin,Severin; Kirkenskov,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD397,5709499397008,"Schubert, Franz",Winterreise,Severin; Kirkenskov,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD399,5709499399002,Various,Rarities of Piano Music 1992,Various,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD404,5709499404003,"Langgaard, Rued",V1: Complete Symphonies,Artur Rubinstein Philharmonic Orchestra; Stupel,1,CD,1998,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD405,5709499405000,"Langgaard, Rued",V2: Complete Symphonies,Artur Rubinstein Philharmonic Orchestra; Stupel,1,CD,1998,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD406,5709499406007,"Langgaard, Rued",V3: Complete Symphonies,Artur Rubinstein Philharmonic Orchestra; Stupel,1,CD,1998,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD407,5709499407004,"Langgaard, Rued",V4: Complete Symphonies,Artur Rubinstein Philharmonic Orchestra; Stupel,1,CD,1998,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD408,5709499408001,"Langgaard, Rued",V5: Complete Symphonies,Artur Rubinstein Philharmonic Orchestra; Stupel,1,CD,1991,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD409,5709499409008,"Langgaard, Rued",V6: Complete Symphonies,Artur Rubinstein Philharmonic Orchestra; Stupel,1,CD,1992,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD410,5709499410004,"Langgaard, Rued",V7: Complete Symphonies,Artur Rubinstein Philharmonic Orchestra; Stupel,1,CD,1998,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD411,5709499411001,"Rubinstein, Anton",Piano Concertos No. 3 & 4,Marshev; Stupel; Artur Rubinstein Philharmonic Orchestra,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD412,5709499412008,"Gershwin, George",American in Paris; Rhapsody in Blue,Madge; Stupel; Artur Rubinstein Philharmonic Orchestra,1,CD,2003,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD413,5709499413005,Schumann; Dvorak,Cello Concertos,Bengtsson; Stupel; Artur Rubinstein Philharmonic Orchestra,1,CD,2000,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD414,5709499414002,"Tchaikovsky, Pyotr Ilyich",Symphony No. 5; Capriccio Italien,Stupel; Artur Rubinstein Philharmonic Orchestra,1,CD,2000,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD415,5709499415009,"Maegaard, Jan",Violin Concerto; Cello Concerto,Bengtsson; Kontra; Veto; Aalborg Symphony Orchestra,1,CD,1996,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD416,5709499416006,Haydn; Bocchereini,Cello Concertos,Bengtsson; Stupel; Artur Rubinstein Philharmonic Orchestra,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD417,5709499417003,"Schierbeck, Poul",Symphony 1921; Radio-Rhapsody,Stupel; Artur Rubinstein Philharmonic Orchestra,1,CD,1993,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD419,5709499419007,Various,Rarities of Piano Music 1993,Various,1,CD,1999,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD420,5709499420003,Sibelius; Lindberg; Slogedal,Nordic Organ Impressions,Dagmar Koptein,1,CD,1994,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD422,5709499422007,Lalo; Saint-Saens; Tchaikovsky,Cello Concertos,Bengtsson; Stupel; Artur Rubinstein Philharmonic Orchestra,1,CD,1994,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD423,5709499423004,Saariaho; Alsted; Becker,New Nordic Chamber Music,Warme-Quartet,1,CD,1994,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD424,5709499424001,Cimarosa; Rung; Paganini,Thorvaldsen & the Music,Dam-Jensen; Astrand; Nygaard; Dreier; Christiansen; Olsen,1,CD,1995,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD425,5709499425008,Hindemith; Henze; Kodaly,Cello Sonata; Intermezzo E Adagio,Erling Blondal Bengtsson,1,CD,1995,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD426,5709499426005,Hassler; Klug; Isaak; Nicolai,How Shall I Meet,Ingolf Olsen,1,CD,1997,13.25,13.25,CN21,,,,,,,,,,
DAN,Danacord,DACOCD427,5709499427002,"Lewkovitch, Bernhard",3 Madrigals; Improperia Per Voci,Schola Cantorum; Gregoriana Copehnahgen; Lewkovitch,1,CD,1995,13.25,13.25,CN21,,,,,,,,,,
